UF,Ano,Trimestre,Taxa_Desocupacao,Nivel_Ocupacao,Taxa_Participacao
PB,2014,2,9.0,52.0,57.2
PE,2014,2,9.7,49.2,54.5
AL,2014,2,10.8,45.8,51.3
SE,2014,2,11.4,53.8,60.6
BA,2014,2,11.9,54.0,61.3
MG,2014,2,7.0,60.3,64.8
ES,2014,2,7.7,61.4,66.5
RJ,2014,2,7.0,56.0,60.2
SP,2014,2,7.5,61.0,65.9
PR,2014,2,4.6,63.5,66.6
SC,2014,2,3.5,63.6,65.9
RS,2014,2,4.6,62.5,65.5
MS,2014,2,4.9,62.9,66.1
MT,2014,2,4.5,63.3,66.3
GO,2014,2,5.8,62.1,66.0
DF,2014,2,9.2,61.8,68.0
RO,2014,2,4.6,60.1,63.0
AC,2014,2,8.8,53.7,58.9
AM,2014,2,8.4,57.5,62.8
RR,2014,2,8.2,61.4,66.6
PA,2014,2,7.8,56.5,61.3
AP,2014,2,10.9,55.1,61.8
TO,2014,2,6.3,56.7,60.6
MA,2014,2,7.5,50.5,54.6
PI,2014,2,7.5,54.2,58.6
CE,2014,2,7.3,50.8,54.7
RN,2014,2,10.1,50.8,56.5
PB,2014,2,8.6,51.3,56.1
PE,2014,2,8.5,50.4,55.1
AL,2014,2,10.6,46.5,51.9
SE,2014,2,10.1,54.7,60.9
BA,2014,2,10.8,54.6,61.2
MG,2014,2,6.3,60.3,64.4
ES,2014,2,7.2,62.0,66.9
RJ,2014,2,6.9,56.1,60.3
SP,2014,2,7.4,61.0,65.9
PR,2014,2,4.2,63.5,66.4
SC,2014,2,2.8,62.8,64.6
RS,2014,2,4.9,62.8,66.0
MS,2014,2,4.4,63.4,66.3
MT,2014,2,3.9,64.3,66.9
GO,2014,2,5.2,62.6,66.1
DF,2014,2,9.0,63.5,69.8
RO,2014,2,5.0,59.3,62.4
AC,2014,2,7.1,54.1,58.2
AM,2014,2,7.7,58.8,63.7
RR,2014,2,6.9,60.3,64.7
PA,2014,2,6.1,57.7,61.5
AP,2014,2,9.3,56.0,61.7
TO,2014,2,6.5,56.7,60.6
MA,2014,2,5.6,52.5,55.6
PI,2014,2,7.0,55.6,59.8
CE,2014,2,6.9,51.7,55.5
RN,2014,2,9.8,51.9,57.5
PB,2014,2,8.5,52.3,57.1
PE,2014,2,7.4,51.5,55.6
AL,2014,2,9.4,46.5,51.3
SE,2014,2,8.8,54.9,60.2
BA,2014,2,9.1,56.6,62.3
MG,2014,2,5.8,59.9,63.6
ES,2014,2,5.9,60.8,64.6
RJ,2014,2,6.2,55.6,59.3
SP,2014,2,6.6,60.8,65.1
PR,2014,2,3.8,63.7,66.3
SC,2014,2,2.6,62.9,64.5
RS,2014,2,4.7,62.9,66.0
MS,2014,2,4.5,63.0,66.0
MT,2014,2,3.7,63.1,65.5
GO,2014,2,4.0,63.3,65.9
DF,2014,2,8.5,62.2,68.1
RO,2014,2,5.0,59.1,62.2
AC,2014,2,8.2,54.2,59.0
AM,2014,2,8.3,56.4,61.5
RR,2014,2,7.6,61.3,66.4
PA,2014,2,7.8,57.2,62.0
AP,2014,2,11.2,54.7,61.7
TO,2014,2,8.6,56.8,62.1
MA,2014,2,6.4,52.6,56.2
PI,2014,2,7.1,57.3,61.7
CE,2014,2,7.9,51.1,55.5
RN,2014,2,11.8,50.6,57.5
PB,2014,2,9.4,51.9,57.2
PE,2014,2,8.8,50.0,54.8
AL,2014,2,9.8,45.8,50.8
SE,2014,2,9.5,54.7,60.4
BA,2014,2,11.7,55.5,62.8
MG,2014,2,7.1,59.0,63.5
ES,2014,2,6.4,60.4,64.6
RJ,2014,2,6.8,55.7,59.8
SP,2014,2,7.3,59.9,64.7
PR,2014,2,4.2,63.3,66.1
SC,2014,2,3.1,63.0,65.0
RS,2014,2,5.4,62.1,65.7
MS,2014,2,4.7,61.8,64.9
MT,2014,2,4.5,63.0,66.0
GO,2014,2,5.7,62.1,65.8
DF,2014,2,9.1,61.4,67.6
RO,2014,2,4.1,58.4,60.9
AC,2014,2,9.6,53.6,59.3
AM,2014,2,8.4,57.3,62.6
RR,2014,2,5.6,62.4,66.1
PA,2014,2,7.2,57.5,62.0
AP,2014,2,10.0,57.1,63.4
TO,2014,2,7.8,57.1,61.9
MA,2014,2,7.2,52.7,56.7
PI,2014,2,7.1,56.5,60.9
CE,2014,2,7.6,51.8,56.0
RN,2014,2,11.8,50.2,56.8
PB,2014,2,8.9,52.3,57.4
PE,2014,2,8.0,51.0,55.4
AL,2014,2,9.7,45.7,50.6
SE,2014,2,9.8,53.9,59.6
BA,2014,2,10.2,56.1,62.5
MG,2014,2,6.9,59.2,63.6
ES,2014,2,6.6,60.8,65.1
RJ,2014,2,6.5,55.3,59.2
SP,2014,2,7.1,60.3,64.9
PR,2014,2,4.2,63.3,66.1
SC,2014,2,2.8,62.7,64.5
RS,2014,2,5.0,61.9,65.2
MS,2014,2,3.9,63.2,65.8
MT,2014,2,4.0,63.3,65.9
GO,2014,2,5.4,62.9,66.5
DF,2014,2,9.2,61.3,67.4
RO,2014,2,4.2,58.2,60.8
AC,2014,2,7.2,54.9,59.0
AM,2014,2,6.8,58.6,62.9
RR,2014,2,6.6,60.7,65.0
PA,2014,2,7.2,57.3,61.7
AP,2014,2,10.6,56.9,63.6
TO,2014,2,7.6,57.6,62.4
MA,2014,2,6.8,53.0,56.9
PI,2014,2,6.2,57.0,60.7
CE,2014,2,7.6,51.5,55.7
RN,2014,2,10.6,50.2,56.2
PB,2014,2,9.3,52.0,57.3
PE,2014,2,8.5,50.9,55.6
AL,2014,2,9.8,46.6,51.7
SE,2014,2,9.2,54.8,60.3
BA,2014,2,9.8,56.3,62.4
MG,2014,2,6.9,58.8,63.2
ES,2014,2,5.9,60.8,64.6
RJ,2014,2,6.2,55.5,59.1
SP,2014,2,7.3,60.0,64.8
PR,2014,2,4.2,63.4,66.1
SC,2014,2,2.9,63.3,65.3
RS,2014,2,5.3,61.8,65.3
MS,2014,2,4.1,63.0,65.7
MT,2014,2,3.9,63.8,66.4
GO,2014,2,5.2,62.9,66.3
DF,2014,2,9.0,61.2,67.2
RO,2014,2,3.6,59.8,62.0
AC,2014,2,6.3,54.6,58.3
AM,2014,2,7.9,56.6,61.4
RR,2014,2,6.3,63.1,67.4
PA,2014,2,7.1,56.9,61.3
AP,2014,2,9.6,57.4,63.4
TO,2014,2,6.4,57.8,61.8
MA,2014,2,7.2,52.9,57.0
PI,2014,2,6.0,56.4,60.0
CE,2014,2,6.6,51.0,54.6
RN,2014,2,10.5,50.4,56.3
PB,2014,2,8.2,52.7,57.3
PE,2014,2,7.7,51.3,55.6
AL,2014,2,9.5,47.3,52.2
SE,2014,2,9.0,55.5,61.0
BA,2014,2,9.8,57.0,63.2
MG,2014,2,6.3,59.4,63.4
ES,2014,2,6.2,59.8,63.7
RJ,2014,2,5.8,55.1,58.5
SP,2014,2,7.2,60.5,65.2
PR,2014,2,3.8,62.6,65.0
SC,2014,2,2.7,64.3,66.1
RS,2014,2,4.6,62.3,65.3
MS,2014,2,3.9,63.3,65.9
MT,2014,2,4.1,63.2,65.9
GO,2014,2,5.2,63.5,66.9
DF,2014,2,8.8,60.2,66.0
RO,2014,2,4.6,58.6,61.4
AC,2014,2,9.0,54.6,60.0
AM,2014,2,9.5,56.0,61.8
RR,2014,2,9.2,59.5,65.5
PA,2014,2,9.4,56.8,62.7
AP,2014,2,9.8,55.8,61.9
TO,2014,2,8.9,55.7,61.1
MA,2014,2,9.0,52.2,57.3
PI,2014,2,7.8,55.3,60.0
CE,2014,2,8.1,49.9,54.3
RN,2014,2,11.6,50.0,56.6
PB,2014,2,9.3,52.8,58.2
PE,2014,2,8.2,50.8,55.3
AL,2014,2,11.2,45.3,51.0
SE,2014,2,8.7,55.7,61.1
BA,2014,2,11.4,56.1,63.3
MG,2014,2,8.3,58.2,63.5
ES,2014,2,7.1,59.3,63.8
RJ,2014,2,6.6,54.4,58.3
SP,2014,2,8.6,59.7,65.3
PR,2014,2,5.4,61.4,64.9
SC,2014,2,4.0,63.5,66.1
RS,2014,2,5.8,62.3,66.1
MS,2014,2,6.3,61.5,65.6
MT,2014,2,5.8,62.7,66.6
GO,2014,2,7.0,61.7,66.4
DF,2014,2,10.9,59.6,66.9
RO,2014,2,5.0,58.1,61.2
AC,2014,2,8.8,53.7,59.0
AM,2014,2,9.7,55.8,61.8
RR,2014,2,7.8,60.0,65.1
PA,2014,2,9.2,56.7,62.4
AP,2014,2,10.3,56.2,62.6
TO,2014,2,7.7,56.5,61.3
MA,2014,2,9.0,52.0,57.1
PI,2014,2,7.7,55.9,60.5
CE,2014,2,8.9,49.9,54.8
RN,2014,2,11.8,50.6,57.3
PB,2014,2,9.3,52.2,57.6
PE,2014,2,9.2,51.3,56.4
AL,2014,2,11.9,44.4,50.4
SE,2014,2,9.2,54.7,60.2
BA,2014,2,12.8,55.3,63.4
MG,2014,2,8.0,59.0,64.1
ES,2014,2,6.8,59.8,64.1
RJ,2014,2,7.3,54.8,59.1
SP,2014,2,9.2,59.5,65.5
PR,2014,2,6.2,61.4,65.5
SC,2014,2,4.0,63.8,66.4
RS,2014,2,6.1,61.8,65.7
MS,2014,2,6.4,61.4,65.6
MT,2014,2,6.3,62.1,66.3
GO,2014,2,7.5,61.8,66.8
DF,2014,2,9.8,59.9,66.3
RO,2014,2,6.7,58.5,62.7
AC,2014,2,9.0,54.0,59.1
AM,2014,2,10.3,55.9,62.3
RR,2014,2,9.6,58.9,64.8
PA,2014,2,8.6,57.5,62.9
AP,2014,2,11.8,55.7,63.1
TO,2014,2,9.3,55.9,61.6
MA,2014,2,8.6,52.5,57.4
PI,2014,2,7.8,55.9,60.5
CE,2014,2,9.7,50.2,55.6
RN,2014,2,12.8,50.8,58.3
PB,2014,2,10.5,51.7,57.7
PE,2014,2,11.3,50.8,57.2
AL,2014,2,10.9,44.7,50.2
SE,2014,2,8.8,54.1,59.3
BA,2014,2,13.0,55.4,63.7
MG,2014,2,8.8,59.0,64.7
ES,2014,2,8.3,58.2,63.5
RJ,2014,2,8.3,54.5,59.4
SP,2014,2,9.8,59.2,65.6
PR,2014,2,6.2,61.3,65.4
SC,2014,2,4.4,63.3,66.2
RS,2014,2,7.0,61.0,65.6
MS,2014,2,6.3,62.5,66.7
MT,2014,2,6.7,60.9,65.3
GO,2014,2,7.4,61.2,66.0
DF,2014,2,10.4,59.0,65.9
RO,2014,2,6.5,59.8,63.8
AC,2014,2,7.8,54.3,58.9
AM,2014,2,9.3,55.2,60.8
RR,2014,2,8.1,59.4,64.6
PA,2014,2,8.8,57.2,62.7
AP,2014,2,13.1,55.7,64.1
TO,2014,2,9.0,55.3,60.8
MA,2014,2,8.4,52.3,57.0
PI,2014,2,7.3,54.9,59.3
CE,2014,2,9.1,49.8,54.8
RN,2014,2,12.3,50.0,57.0
PB,2014,2,9.7,51.3,56.8
PE,2014,2,11.1,49.4,55.6
AL,2014,2,11.5,44.6,50.4
SE,2014,2,10.2,52.1,57.9
BA,2014,2,12.4,55.1,62.9
MG,2014,2,9.4,58.2,64.2
ES,2014,2,9.3,57.3,63.1
RJ,2014,2,8.7,54.5,59.7
SP,2014,2,10.3,59.5,66.3
PR,2014,2,5.9,62.0,65.9
SC,2014,2,4.3,63.4,66.2
RS,2014,2,6.7,62.2,66.7
MS,2014,2,6.0,62.6,66.6
MT,2014,2,5.8,61.5,65.3
GO,2014,2,7.8,60.9,66.1
DF,2014,2,9.8,59.9,66.4
RO,2014,2,7.6,58.4,63.2
AC,2014,2,8.8,53.5,58.7
AM,2014,2,12.9,54.6,62.8
RR,2014,2,8.1,59.4,64.6
PA,2014,2,10.2,56.0,62.3
AP,2014,2,14.6,52.7,62.0
TO,2014,2,10.8,54.5,61.2
MA,2014,2,11.1,50.7,57.0
PI,2014,2,9.7,52.9,58.6
CE,2014,2,10.9,48.1,54.0
RN,2014,2,14.5,47.6,55.7
PB,2014,2,10.3,50.1,55.8
PE,2014,2,13.4,48.2,55.7
AL,2014,2,12.9,43.9,50.4
SE,2014,2,11.5,51.5,58.2
BA,2014,2,15.7,52.6,62.4
MG,2014,2,11.3,56.9,64.1
ES,2014,2,11.2,56.1,63.1
RJ,2014,2,10.2,53.7,59.8
SP,2014,2,12.2,58.8,66.9
PR,2014,2,8.2,61.1,66.5
SC,2014,2,6.1,62.1,66.2
RS,2014,2,7.6,61.5,66.6
MS,2014,2,7.8,61.0,66.1
MT,2014,2,9.2,59.2,65.2
GO,2014,2,10.2,59.6,66.4
DF,2014,2,11.3,59.1,66.6
RO,2014,2,7.9,59.3,64.5
AC,2014,2,11.2,49.4,55.6
AM,2014,2,13.4,55.7,64.4
RR,2014,2,8.1,59.1,64.1
PA,2014,2,11.0,54.4,61.1
AP,2014,2,16.0,52.8,62.8
TO,2014,2,11.2,54.2,61.2
MA,2014,2,12.0,48.1,54.7
PI,2014,2,10.1,51.6,57.4
CE,2014,2,11.6,49.7,56.2
RN,2014,2,13.6,48.1,55.7
PB,2014,2,11.0,48.7,54.7
PE,2014,2,14.2,47.7,55.6
AL,2014,2,14.1,43.8,50.9
SE,2014,2,12.9,51.2,58.8
BA,2014,2,15.6,52.3,62.0
MG,2014,2,11.0,57.6,64.8
ES,2014,2,11.7,56.7,64.2
RJ,2014,2,11.6,53.2,60.2
SP,2014,2,12.2,58.8,67.0
PR,2014,2,8.2,60.6,66.0
SC,2014,2,6.8,61.1,65.5
RS,2014,2,8.9,60.4,66.3
MS,2014,2,7.0,62.4,67.1
MT,2014,2,10.0,59.8,66.5
GO,2014,2,10.3,60.2,67.1
DF,2014,2,11.0,59.0,66.3
RO,2014,2,8.6,57.9,63.2
AC,2014,2,12.1,47.2,53.8
AM,2014,2,13.8,54.5,63.3
RR,2014,2,9.8,55.4,61.4
PA,2014,2,11.2,53.7,60.4
AP,2014,2,15.1,52.4,61.5
TO,2014,2,10.9,53.4,59.9
MA,2014,2,12.1,46.3,52.7
PI,2014,2,9.6,51.2,56.6
CE,2014,2,13.3,48.4,55.8
RN,2014,2,14.2,47.6,55.5
PB,2014,2,13.0,46.9,53.9
PE,2014,2,15.5,45.9,54.3
AL,2014,2,14.9,42.6,50.1
SE,2014,2,14.4,49.7,58.1
BA,2014,2,16.1,51.0,60.7
MG,2014,2,11.3,57.6,65.0
ES,2014,2,12.9,54.9,63.0
RJ,2014,2,12.3,52.8,60.2
SP,2014,2,12.9,58.5,67.1
PR,2014,2,8.6,59.7,65.3
SC,2014,2,6.4,61.4,65.6
RS,2014,2,8.4,60.3,65.8
MS,2014,2,7.7,61.1,66.3
MT,2014,2,9.1,59.2,65.2
GO,2014,2,10.7,58.7,65.7
DF,2014,2,12.1,60.0,68.3
RO,2014,2,8.1,58.4,63.5
AC,2014,2,11.8,48.1,54.5
AM,2014,2,15.0,53.2,62.7
RR,2014,2,9.5,53.5,59.2
PA,2014,2,12.9,53.2,61.1
AP,2014,2,17.0,51.6,62.1
TO,2014,2,13.2,52.9,60.9
MA,2014,2,13.2,46.1,53.1
PI,2014,2,8.9,50.3,55.3
CE,2014,2,12.6,48.6,55.6
RN,2014,2,14.7,47.0,55.1
PB,2014,2,12.2,47.3,53.8
PE,2014,2,15.9,46.3,55.1
AL,2014,2,14.9,41.7,49.0
SE,2014,2,15.2,49.1,57.9
BA,2014,2,16.8,50.7,60.9
MG,2014,2,11.2,57.6,64.8
ES,2014,2,13.8,55.4,64.3
RJ,2014,2,13.6,52.4,60.7
SP,2014,2,12.5,58.9,67.3
PR,2014,2,8.2,60.4,65.7
SC,2014,2,6.2,61.7,65.8
RS,2014,2,8.4,60.8,66.4
MS,2014,2,8.2,61.3,66.8
MT,2014,2,9.6,59.3,65.6
GO,2014,2,11.3,59.1,66.7
DF,2014,2,14.0,59.3,68.9
RO,2014,2,8.2,56.4,61.5
AC,2014,2,15.9,45.8,54.5
AM,2014,2,18.0,53.1,64.8
RR,2014,2,10.3,53.2,59.3
PA,2014,2,14.0,51.1,59.4
AP,2014,2,18.8,49.8,61.4
TO,2014,2,12.6,52.3,59.8
MA,2014,2,15.2,45.6,53.7
PI,2014,2,12.8,48.4,55.6
CE,2014,2,14.4,47.7,55.7
RN,2014,2,16.4,46.0,55.1
PB,2014,2,13.4,46.4,53.5
PE,2014,2,17.3,45.0,54.4
AL,2014,2,17.7,39.5,47.9
SE,2014,2,16.3,47.0,56.1
BA,2014,2,18.6,48.9,60.2
MG,2014,2,13.8,56.0,65.0
ES,2014,2,14.7,54.3,63.6
RJ,2014,2,14.7,51.8,60.7
SP,2014,2,14.4,58.6,68.4
PR,2014,2,10.4,59.0,65.8
SC,2014,2,7.9,61.9,67.2
RS,2014,2,9.3,60.4,66.6
MS,2014,2,9.9,60.1,66.7
MT,2014,2,10.6,57.4,64.2
GO,2014,2,12.8,57.9,66.4
DF,2014,2,14.3,58.9,68.7
RO,2014,2,9.2,57.4,63.2
AC,2014,2,15.1,48.1,56.5
AM,2014,2,15.6,54.3,64.3
RR,2014,2,10.8,54.8,61.4
PA,2014,2,11.5,53.1,60.1
AP,2014,2,17.5,50.4,61.3
TO,2014,2,11.6,51.9,58.7
MA,2014,2,14.7,44.7,52.4
PI,2014,2,13.7,48.9,56.7
CE,2014,2,13.3,48.0,55.4
RN,2014,2,15.8,46.4,55.2
PB,2014,2,11.6,48.0,54.3
PE,2014,2,19.0,44.4,54.8
AL,2014,2,18.0,39.5,48.1
SE,2014,2,14.2,49.4,57.5
BA,2014,2,17.6,49.9,60.5
MG,2014,2,12.2,57.3,65.3
ES,2014,2,13.5,57.0,65.9
RJ,2014,2,15.8,51.6,61.3
SP,2014,2,13.6,59.0,68.3
PR,2014,2,9.0,60.1,66.0
SC,2014,2,7.5,62.1,67.1
RS,2014,2,8.6,60.5,66.2
MS,2014,2,9.0,60.9,66.9
MT,2014,2,8.7,59.3,64.9
GO,2014,2,11.0,60.2,67.7
DF,2014,2,13.3,58.8,67.8
RO,2014,2,8.2,58.0,63.3
AC,2014,2,13.8,49.0,56.9
AM,2014,2,16.2,52.3,62.4
RR,2014,2,9.3,56.2,61.6
PA,2014,2,11.2,54.1,60.9
AP,2014,2,17.0,50.8,61.2
TO,2014,2,11.9,50.5,57.3
MA,2014,2,14.5,45.8,53.6
PI,2014,2,12.2,50.0,57.0
CE,2014,2,12.0,49.2,55.8
RN,2014,2,13.9,47.5,55.1
PB,2014,2,10.9,49.1,55.0
PE,2014,2,18.1,45.1,55.1
AL,2014,2,16.1,40.1,47.8
SE,2014,2,13.8,49.4,57.3
BA,2014,2,16.8,49.4,59.4
MG,2014,2,12.3,57.5,65.5
ES,2014,2,13.1,58.0,66.7
RJ,2014,2,14.6,52.8,61.9
SP,2014,2,13.3,59.4,68.6
PR,2014,2,8.5,60.0,65.5
SC,2014,2,6.8,62.9,67.5
RS,2014,2,8.2,61.0,66.4
MS,2014,2,8.0,61.1,66.4
MT,2014,2,9.5,59.9,66.2
GO,2014,2,9.3,61.6,68.0
DF,2014,2,12.3,58.4,66.6
RO,2014,2,7.6,58.6,63.4
AC,2014,2,12.4,50.7,57.8
AM,2014,2,13.6,53.2,61.5
RR,2014,2,9.8,57.9,63.9
PA,2014,2,10.7,54.7,61.3
AP,2014,2,19.1,49.9,61.7
TO,2014,2,10.6,53.0,59.3
MA,2014,2,13.4,45.1,52.1
PI,2014,2,13.4,49.0,56.7
CE,2014,2,11.2,51.0,57.5
RN,2014,2,12.4,47.7,54.5
PB,2014,2,10.2,49.2,54.9
PE,2014,2,17.0,46.2,55.6
AL,2014,2,15.7,38.3,45.5
SE,2014,2,13.6,51.1,59.0
BA,2014,2,15.1,51.1,60.1
MG,2014,2,10.7,58.5,65.4
ES,2014,2,11.8,58.2,65.9
RJ,2014,2,15.3,52.7,62.2
SP,2014,2,12.8,59.6,68.4
PR,2014,2,8.3,60.4,65.9
SC,2014,2,6.4,63.6,68.0
RS,2014,2,8.1,60.9,66.3
MS,2014,2,7.4,62.0,66.9
MT,2014,2,7.3,60.8,65.6
GO,2014,2,9.4,60.6,66.9
DF,2014,2,13.3,57.6,66.5
RO,2014,2,10.5,56.6,63.4
AC,2014,2,14.8,49.5,57.9
AM,2014,2,14.0,53.3,62.0
RR,2014,2,10.5,56.3,63.0
PA,2014,2,12.3,52.2,59.5
AP,2014,2,21.6,48.6,62.0
TO,2014,2,11.1,52.8,59.4
MA,2014,2,15.8,43.4,51.5
PI,2014,2,13.3,47.6,55.0
CE,2014,2,12.9,49.8,57.2
RN,2014,2,15.1,46.5,54.8
PB,2014,2,11.9,48.2,54.7
PE,2014,2,18.0,46.4,56.5
AL,2014,2,18.0,36.4,44.4
SE,2014,2,17.2,48.6,58.6
BA,2014,2,18.1,48.8,59.6
MG,2014,2,12.7,57.2,65.5
ES,2014,2,12.7,57.5,65.8
RJ,2014,2,15.1,52.4,61.7
SP,2014,2,14.1,59.3,69.0
PR,2014,2,9.7,59.5,65.8
SC,2014,2,6.6,62.8,67.2
RS,2014,2,8.6,59.6,65.3
MS,2014,2,8.5,61.5,67.2
MT,2014,2,9.5,59.3,65.5
GO,2014,2,10.4,59.8,66.7
DF,2014,2,14.1,57.4,66.8
RO,2014,2,8.2,56.6,61.8
AC,2014,2,13.7,48.8,56.5
AM,2014,2,14.3,52.1,60.8
RR,2014,2,11.7,55.4,62.7
PA,2014,2,11.3,53.2,60.0
AP,2014,2,21.7,48.0,61.1
TO,2014,2,11.3,53.0,59.8
MA,2014,2,14.5,42.5,49.7
PI,2014,2,13.6,48.5,56.1
CE,2014,2,11.8,49.6,56.2
RN,2014,2,13.3,47.5,54.8
PB,2014,2,11.1,48.1,54.1
PE,2014,2,17.1,46.6,56.3
AL,2014,2,17.7,36.3,44.0
SE,2014,2,17.0,48.1,57.9
BA,2014,2,16.8,48.8,58.6
MG,2014,2,10.9,58.6,65.7
ES,2014,2,12.2,58.2,66.3
RJ,2014,2,15.5,52.3,61.9
SP,2014,2,13.8,59.3,68.8
PR,2014,2,9.1,59.7,65.7
SC,2014,2,6.5,62.5,66.8
RS,2014,2,8.4,59.2,64.7
MS,2014,2,7.7,62.2,67.4
MT,2014,2,8.6,60.4,66.1
GO,2014,2,9.5,60.4,66.8
DF,2014,2,12.3,58.9,67.2
RO,2014,2,8.9,57.6,63.3
AC,2014,2,13.4,49.4,57.1
AM,2014,2,13.2,53.7,61.9
RR,2014,2,13.5,54.5,63.3
PA,2014,2,11.0,53.2,59.9
AP,2014,2,18.3,50.7,62.1
TO,2014,2,9.8,53.5,59.4
MA,2014,2,14.0,43.2,50.2
PI,2014,2,12.5,49.9,57.0
CE,2014,2,10.7,51.2,57.4
RN,2014,2,13.0,49.0,56.4
PB,2014,2,11.0,49.1,55.1
PE,2014,2,17.0,46.8,56.4
AL,2014,2,17.3,37.8,45.8
SE,2014,2,17.6,48.2,58.5
BA,2014,2,16.4,50.0,59.8
MG,2014,2,9.8,59.4,65.8
ES,2014,2,11.3,59.3,66.9
RJ,2014,2,14.7,52.9,62.0
SP,2014,2,13.3,59.8,69.0
PR,2014,2,8.7,60.1,65.9
SC,2014,2,6.2,63.0,67.1
RS,2014,2,8.3,59.7,65.0
MS,2014,2,7.3,63.7,68.8
MT,2014,2,6.8,61.9,66.4
GO,2014,2,9.0,60.7,66.7
DF,2014,2,12.7,59.3,67.9
RO,2014,2,9.1,58.0,63.8
AC,2014,2,13.5,49.4,56.9
AM,2014,2,14.6,53.3,62.4
RR,2014,2,14.2,55.4,64.5
PA,2014,2,10.3,53.8,59.9
AP,2014,2,19.9,49.1,61.3
TO,2014,2,10.5,54.6,61.0
MA,2014,2,14.3,43.2,50.4
PI,2014,2,12.4,50.0,57.0
CE,2014,2,10.2,51.5,57.3
RN,2014,2,13.6,47.8,55.3
PB,2014,2,11.2,48.7,54.9
PE,2014,2,15.6,47.9,56.8
AL,2014,2,16.2,38.6,46.0
SE,2014,2,15.1,50.1,59.1
BA,2014,2,17.6,49.4,59.9
MG,2014,2,9.7,59.0,65.4
ES,2014,2,10.4,59.9,66.8
RJ,2014,2,15.0,53.0,62.3
SP,2014,2,12.6,59.9,68.6
PR,2014,2,7.9,60.8,66.0
SC,2014,2,6.3,63.4,67.7
RS,2014,2,7.5,60.6,65.5
MS,2014,2,7.0,63.2,68.0
MT,2014,2,6.9,63.0,67.6
GO,2014,2,8.3,61.5,67.0
DF,2014,2,12.0,59.8,68.0
RO,2014,2,9.1,57.8,63.6
AC,2014,2,18.2,45.4,55.5
AM,2014,2,16.1,52.3,62.3
RR,2014,2,15.2,55.6,65.6
PA,2014,2,11.6,52.5,59.4
AP,2014,2,20.4,49.8,62.6
TO,2014,2,12.5,52.9,60.4
MA,2014,2,16.6,40.9,49.0
PI,2014,2,12.9,49.4,56.7
CE,2014,2,11.5,50.5,57.1
RN,2014,2,14.1,47.1,54.8
PB,2014,2,11.2,47.6,53.6
PE,2014,2,16.3,47.6,56.9
AL,2014,2,16.1,38.9,46.4
SE,2014,2,15.5,50.0,59.2
BA,2014,2,18.5,48.8,59.9
MG,2014,2,11.2,57.7,65.1
ES,2014,2,12.3,59.4,67.8
RJ,2014,2,15.4,52.9,62.6
SP,2014,2,13.6,59.6,68.9
PR,2014,2,9.0,60.5,66.5
SC,2014,2,7.3,62.7,67.6
RS,2014,2,8.0,60.4,65.7
MS,2014,2,9.6,61.4,67.9
MT,2014,2,9.2,62.0,68.2
GO,2014,2,10.9,60.1,67.4
DF,2014,2,14.2,58.6,68.4
RO,2014,2,6.9,58.6,62.9
AC,2014,2,13.7,48.1,55.8
AM,2014,2,14.0,55.2,64.2
RR,2014,2,15.3,53.8,63.5
PA,2014,2,11.3,52.7,59.4
AP,2014,2,17.2,52.9,63.8
TO,2014,2,11.5,53.6,60.6
MA,2014,2,14.8,42.1,49.4
PI,2014,2,13.0,49.9,57.4
CE,2014,2,11.0,51.3,57.7
RN,2014,2,12.7,48.1,55.1
PB,2014,2,12.2,47.2,53.7
PE,2014,2,16.1,47.1,56.1
AL,2014,2,14.9,40.8,47.9
SE,2014,2,15.3,51.4,60.8
BA,2014,2,17.5,49.5,60.0
MG,2014,2,9.6,59.5,65.8
ES,2014,2,11.0,61.6,69.2
RJ,2014,2,15.3,52.7,62.2
SP,2014,2,12.9,60.5,69.4
PR,2014,2,9.1,60.7,66.8
SC,2014,2,6.1,63.0,67.1
RS,2014,2,8.3,60.7,66.2
MS,2014,2,8.4,63.6,69.4
MT,2014,2,8.3,63.8,69.5
GO,2014,2,10.6,60.3,67.4
DF,2014,2,13.8,59.6,69.2
RO,2014,2,8.4,58.7,64.1
AC,2014,2,13.2,47.8,55.1
AM,2014,2,13.5,55.7,64.4
RR,2014,2,14.9,54.2,63.7
PA,2014,2,11.3,53.3,60.1
AP,2014,2,16.9,52.1,62.7
TO,2014,2,10.7,53.5,59.9
MA,2014,2,14.4,42.7,49.8
PI,2014,2,12.9,51.9,59.5
CE,2014,2,11.4,51.2,57.8
RN,2014,2,13.6,48.1,55.7
PB,2014,2,11.4,47.4,53.5
PE,2014,2,16.0,47.0,55.9
AL,2014,2,15.6,39.9,47.2
SE,2014,2,14.8,51.3,60.3
BA,2014,2,16.9,49.6,59.8
MG,2014,2,10.0,59.6,66.2
ES,2014,2,10.7,60.8,68.1
RJ,2014,2,14.6,53.1,62.2
SP,2014,2,12.1,61.0,69.4
PR,2014,2,9.1,60.9,66.9
SC,2014,2,5.8,63.0,66.8
RS,2014,2,8.9,60.2,66.1
MS,2014,2,7.7,62.7,68.0
MT,2014,2,8.0,63.9,69.5
GO,2014,2,10.9,60.8,68.2
DF,2014,2,13.2,60.0,69.1
RO,2014,2,8.2,58.4,63.6
AC,2014,2,13.9,46.6,54.1
AM,2014,2,13.0,55.4,63.7
RR,2014,2,14.8,54.7,64.5
PA,2014,2,9.3,53.8,59.3
